,sequential_agent_class,tom_agent_class,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward,timestamp,Unnamed: 0,win,loss,win_percentage,tie,loss_percentage,tie_percentage
25,W_stay_L_up_T_down,gpt4o,25,paper,rock,3,-1,2024-08-21_14-26-31,,,,,,,
26,W_stay_L_up_T_down,gpt4o,26,paper,scissors,-1,3,2024-08-21_14-26-31,,,,,,,
27,W_stay_L_up_T_down,gpt4o,27,paper,scissors,-1,3,2024-08-21_14-26-31,,,,,,,
28,W_stay_L_up_T_down,gpt4o,28,scissors,scissors,0,0,2024-08-21_14-26-31,,,,,,,
29,W_stay_L_up_T_down,gpt4o,29,paper,scissors,-1,3,2024-08-21_14-26-31,,,,,,,
30,W_stay_L_up_T_down,gpt4o,30,scissors,scissors,0,0,2024-08-21_14-26-31,,,,,,,
31,W_stay_L_up_T_down,gpt4o,31,paper,scissors,-1,3,2024-08-21_14-26-31,,,,,,,
32,W_stay_L_up_T_down,gpt4o,32,rock,scissors,3,-1,2024-08-21_14-26-31,,,,,,,
33,W_stay_L_up_T_down,gpt4o,33,rock,scissors,3,-1,2024-08-21_14-26-31,,,,,,,
34,W_stay_L_up_T_down,gpt4o,34,rock,paper,-1,3,2024-08-21_14-26-31,,,,,,,
35,W_stay_L_up_T_down,gpt4o,35,paper,rock,3,-1,2024-08-21_14-26-31,,,,,,,
36,W_stay_L_up_T_down,gpt4o,36,paper,scissors,-1,3,2024-08-21_14-26-31,,,,,,,
37,W_stay_L_up_T_down,gpt4o,37,scissors,paper,3,-1,2024-08-21_14-26-31,,,,,,,
38,W_stay_L_up_T_down,gpt4o,38,scissors,paper,3,-1,2024-08-21_14-26-31,,,,,,,
39,W_stay_L_up_T_down,gpt4o,39,scissors,rock,-1,3,2024-08-21_14-26-31,,,,,,,
40,W_stay_L_up_T_down,gpt4o,40,rock,scissors,3,-1,2024-08-21_14-26-31,,,,,,,
41,W_stay_L_up_T_down,gpt4o,41,rock,paper,-1,3,2024-08-21_14-26-31,,,,,,,
42,W_stay_L_up_T_down,gpt4o,42,paper,rock,3,-1,2024-08-21_14-26-31,,,,,,,
43,W_stay_L_up_T_down,gpt4o,43,paper,scissors,-1,3,2024-08-21_14-26-31,,,,,,,
44,W_stay_L_up_T_down,gpt4o,44,scissors,paper,3,-1,2024-08-21_14-26-31,,,,,,,
45,W_stay_L_up_T_down,gpt4o,45,scissors,rock,-1,3,2024-08-21_14-26-31,,,,,,,
46,W_stay_L_up_T_down,gpt4o,46,rock,scissors,3,-1,2024-08-21_14-26-31,,,,,,,
47,W_stay_L_up_T_down,gpt4o,47,rock,paper,-1,3,2024-08-21_14-26-31,,,,,,,
48,W_stay_L_up_T_down,gpt4o,48,paper,paper,0,0,2024-08-21_14-26-31,,,,,,,
49,W_stay_L_up_T_down,gpt4o,49,rock,paper,-1,3,2024-08-21_14-26-31,,,,,,,
50,W_stay_L_up_T_down,gpt4o,50,paper,rock,3,-1,2024-08-21_14-26-31,,,,,,,
51,W_stay_L_up_T_down,gpt4o,51,paper,scissors,-1,3,2024-08-21_14-26-31,,,,,,,
52,W_stay_L_up_T_down,gpt4o,52,scissors,paper,3,-1,2024-08-21_14-26-31,,,,,,,
53,W_stay_L_up_T_down,gpt4o,53,scissors,paper,3,-1,2024-08-21_14-26-31,,,,,,,
54,W_stay_L_up_T_down,gpt4o,54,scissors,rock,-1,3,2024-08-21_14-26-31,,,,,,,
55,W_stay_L_up_T_down,gpt4o,55,paper,scissors,-1,3,2024-08-21_14-26-31,,,,,,,
56,W_stay_L_up_T_down,gpt4o,56,scissors,scissors,0,0,2024-08-21_14-26-31,,,,,,,
57,W_stay_L_up_T_down,gpt4o,57,scissors,rock,-1,3,2024-08-21_14-26-31,,,,,,,
58,W_stay_L_up_T_down,gpt4o,58,rock,rock,0,0,2024-08-21_14-26-31,,,,,,,
59,W_stay_L_up_T_down,gpt4o,59,scissors,paper,3,-1,2024-08-21_14-26-31,,,,,,,
60,W_stay_L_up_T_down,gpt4o,60,scissors,rock,-1,3,2024-08-21_14-26-31,,,,,,,
61,W_stay_L_up_T_down,gpt4o,61,rock,scissors,3,-1,2024-08-21_14-26-31,,,,,,,
62,W_stay_L_up_T_down,gpt4o,62,rock,paper,-1,3,2024-08-21_14-26-31,,,,,,,
63,W_stay_L_up_T_down,gpt4o,63,paper,rock,3,-1,2024-08-21_14-26-31,,,,,,,
64,W_stay_L_up_T_down,gpt4o,64,rock,rock,0,0,2024-08-21_14-26-31,,,,,,,
65,W_stay_L_up_T_down,gpt4o,65,scissors,rock,-1,3,2024-08-21_14-26-31,,,,,,,
66,W_stay_L_up_T_down,gpt4o,66,rock,paper,-1,3,2024-08-21_14-26-31,,,,,,,
67,W_stay_L_up_T_down,gpt4o,67,paper,rock,3,-1,2024-08-21_14-26-31,,,,,,,
68,W_stay_L_up_T_down,gpt4o,68,paper,paper,0,0,2024-08-21_14-26-31,,,,,,,
69,W_stay_L_up_T_down,gpt4o,69,rock,rock,0,0,2024-08-21_14-26-31,,,,,,,
70,W_stay_L_up_T_down,gpt4o,70,scissors,paper,3,-1,2024-08-21_14-26-31,,,,,,,
71,W_stay_L_up_T_down,gpt4o,71,scissors,rock,-1,3,2024-08-21_14-26-31,,,,,,,
72,W_stay_L_up_T_down,gpt4o,72,rock,scissors,3,-1,2024-08-21_14-26-31,,,,,,,
73,W_stay_L_up_T_down,gpt4o,73,rock,rock,0,0,2024-08-21_14-26-31,,,,,,,
74,W_stay_L_up_T_down,gpt4o,74,scissors,rock,-1,3,2024-08-21_14-26-31,,,,,,,
75,W_stay_L_up_T_down,gpt4o,75,rock,rock,0,0,2024-08-21_14-26-31,,,,,,,
76,W_stay_L_up_T_down,gpt4o,76,rock,paper,-1,3,2024-08-21_14-26-31,,,,,,,
77,W_stay_L_up_T_down,gpt4o,77,paper,paper,0,0,2024-08-21_14-26-31,,,,,,,
78,W_stay_L_up_T_down,gpt4o,78,rock,paper,-1,3,2024-08-21_14-26-31,,,,,,,
79,W_stay_L_up_T_down,gpt4o,79,paper,paper,0,0,2024-08-21_14-26-31,,,,,,,
80,W_stay_L_up_T_down,gpt4o,80,rock,rock,0,0,2024-08-21_14-26-31,,,,,,,
81,W_stay_L_up_T_down,gpt4o,81,scissors,paper,3,-1,2024-08-21_14-26-31,,,,,,,
82,W_stay_L_up_T_down,gpt4o,82,scissors,paper,3,-1,2024-08-21_14-26-31,,,,,,,
83,W_stay_L_up_T_down,gpt4o,83,scissors,rock,-1,3,2024-08-21_14-26-31,,,,,,,
84,W_stay_L_up_T_down,gpt4o,84,rock,scissors,3,-1,2024-08-21_14-26-31,,,,,,,
85,W_stay_L_up_T_down,gpt4o,85,rock,paper,-1,3,2024-08-21_14-26-31,,,,,,,
86,W_stay_L_up_T_down,gpt4o,86,paper,paper,0,0,2024-08-21_14-26-31,,,,,,,
87,W_stay_L_up_T_down,gpt4o,87,rock,rock,0,0,2024-08-21_14-26-31,,,,,,,
88,W_stay_L_up_T_down,gpt4o,88,scissors,rock,-1,3,2024-08-21_14-26-31,,,,,,,
89,W_stay_L_up_T_down,gpt4o,89,rock,paper,-1,3,2024-08-21_14-26-31,,,,,,,
90,W_stay_L_up_T_down,gpt4o,90,paper,paper,0,0,2024-08-21_14-26-31,,,,,,,
91,W_stay_L_up_T_down,gpt4o,91,rock,paper,-1,3,2024-08-21_14-26-31,,,,,,,
92,W_stay_L_up_T_down,gpt4o,92,paper,paper,0,0,2024-08-21_14-26-31,,,,,,,
93,W_stay_L_up_T_down,gpt4o,93,rock,paper,-1,3,2024-08-21_14-26-31,,,,,,,
94,W_stay_L_up_T_down,gpt4o,94,paper,paper,0,0,2024-08-21_14-26-31,,,,,,,
95,W_stay_L_up_T_down,gpt4o,95,scissors,paper,3,-1,2024-08-21_14-26-31,,,,,,,
96,W_stay_L_up_T_down,gpt4o,96,scissors,paper,3,-1,2024-08-21_14-26-31,,,,,,,
97,W_stay_L_up_T_down,gpt4o,97,scissors,rock,-1,3,2024-08-21_14-26-31,,,,,,,
98,W_stay_L_up_T_down,gpt4o,98,rock,paper,-1,3,2024-08-21_14-26-31,,,,,,,
99,W_stay_L_up_T_down,gpt4o,99,paper,rock,3,-1,2024-08-21_14-26-31,,,,,,,
100,W_stay_L_up_T_down,gpt4o,100,paper,scissors,-1,3,2024-08-21_14-26-31,,,,,,,
101,W_stay_L_up_T_down,gpt4o,101,scissors,paper,3,-1,2024-08-21_14-26-31,,,,,,,
102,W_stay_L_up_T_down,gpt4o,102,rock,rock,0,0,2024-08-21_14-26-31,,,,,,,
103,W_stay_L_up_T_down,gpt4o,103,scissors,rock,-1,3,2024-08-21_14-26-31,,,,,,,
104,W_stay_L_up_T_down,gpt4o,104,rock,rock,0,0,2024-08-21_14-26-31,,,,,,,
105,W_stay_L_up_T_down,gpt4o,105,rock,rock,0,0,2024-08-21_14-26-31,,,,,,,
106,W_stay_L_up_T_down,gpt4o,106,scissors,paper,3,-1,2024-08-21_14-26-31,,,,,,,
107,W_stay_L_up_T_down,gpt4o,107,scissors,rock,-1,3,2024-08-21_14-26-31,,,,,,,
108,W_stay_L_up_T_down,gpt4o,108,rock,rock,0,0,2024-08-21_14-26-31,,,,,,,
109,W_stay_L_up_T_down,gpt4o,109,scissors,paper,3,-1,2024-08-21_14-26-31,,,,,,,
110,W_stay_L_up_T_down,gpt4o,110,scissors,rock,-1,3,2024-08-21_14-26-31,,,,,,,
111,W_stay_L_up_T_down,gpt4o,111,rock,rock,0,0,2024-08-21_14-26-31,,,,,,,
112,W_stay_L_up_T_down,gpt4o,112,scissors,paper,3,-1,2024-08-21_14-26-31,,,,,,,
113,W_stay_L_up_T_down,gpt4o,113,scissors,rock,-1,3,2024-08-21_14-26-31,,,,,,,
114,W_stay_L_up_T_down,gpt4o,114,rock,rock,0,0,2024-08-21_14-26-31,,,,,,,
115,W_stay_L_up_T_down,gpt4o,115,scissors,rock,-1,3,2024-08-21_14-26-31,,,,,,,
116,W_stay_L_up_T_down,gpt4o,116,rock,scissors,3,-1,2024-08-21_14-26-31,,,,,,,
117,W_stay_L_up_T_down,gpt4o,117,rock,paper,-1,3,2024-08-21_14-26-31,,,,,,,
118,W_stay_L_up_T_down,gpt4o,118,paper,rock,3,-1,2024-08-21_14-26-31,,,,,,,
119,W_stay_L_up_T_down,gpt4o,119,paper,scissors,-1,3,2024-08-21_14-26-31,,,,,,,
120,W_stay_L_up_T_down,gpt4o,120,paper,paper,0,0,2024-08-21_14-26-31,,,,,,,
121,W_stay_L_up_T_down,gpt4o,121,rock,paper,-1,3,2024-08-21_14-26-31,,,,,,,
122,W_stay_L_up_T_down,gpt4o,122,paper,rock,3,-1,2024-08-21_14-26-31,,,,,,,
123,W_stay_L_up_T_down,gpt4o,123,paper,paper,0,0,2024-08-21_14-26-31,,,,,,,
124,W_stay_L_up_T_down,gpt4o,124,rock,rock,0,0,2024-08-21_14-26-31,,,,,,,
125,W_stay_L_up_T_down,gpt4o,125,scissors,rock,-1,3,2024-08-21_14-26-31,,,,,,,
126,W_stay_L_up_T_down,gpt4o,126,rock,paper,-1,3,2024-08-21_14-26-31,,,,,,,
127,W_stay_L_up_T_down,gpt4o,127,paper,rock,3,-1,2024-08-21_14-26-31,,,,,,,
128,W_stay_L_up_T_down,gpt4o,128,paper,paper,0,0,2024-08-21_14-26-31,,,,,,,
129,W_stay_L_up_T_down,gpt4o,129,rock,rock,0,0,2024-08-21_14-26-31,,,,,,,
130,W_stay_L_up_T_down,gpt4o,130,scissors,rock,-1,3,2024-08-21_14-26-31,,,,,,,
131,W_stay_L_up_T_down,gpt4o,131,rock,paper,-1,3,2024-08-21_14-26-31,,,,,,,
132,W_stay_L_up_T_down,gpt4o,132,paper,rock,3,-1,2024-08-21_14-26-31,,,,,,,
133,W_stay_L_up_T_down,gpt4o,133,paper,rock,3,-1,2024-08-21_14-26-31,,,,,,,
134,W_stay_L_up_T_down,gpt4o,134,paper,paper,0,0,2024-08-21_14-26-31,,,,,,,
135,W_stay_L_up_T_down,gpt4o,135,rock,paper,-1,3,2024-08-21_14-26-31,,,,,,,
136,W_stay_L_up_T_down,gpt4o,136,rock,paper,-1,3,2024-08-21_14-26-31,,,,,,,
137,W_stay_L_up_T_down,gpt4o,137,paper,paper,0,0,2024-08-21_14-26-31,,,,,,,
138,W_stay_L_up_T_down,gpt4o,138,rock,paper,-1,3,2024-08-21_14-26-31,,,,,,,
139,W_stay_L_up_T_down,gpt4o,139,paper,paper,0,0,2024-08-21_14-26-31,,,,,,,
140,W_stay_L_up_T_down,gpt4o,140,rock,paper,-1,3,2024-08-21_14-26-31,,,,,,,
141,W_stay_L_up_T_down,gpt4o,141,paper,paper,0,0,2024-08-21_14-26-31,,,,,,,
142,W_stay_L_up_T_down,gpt4o,142,rock,paper,-1,3,2024-08-21_14-26-31,,,,,,,
143,W_stay_L_up_T_down,gpt4o,143,scissors,paper,3,-1,2024-08-21_14-26-31,,,,,,,
144,W_stay_L_up_T_down,gpt4o,144,scissors,paper,3,-1,2024-08-21_14-26-31,,,,,,,
145,W_stay_L_up_T_down,gpt4o,145,scissors,rock,-1,3,2024-08-21_14-26-31,,,,,,,
146,W_stay_L_up_T_down,gpt4o,146,rock,scissors,3,-1,2024-08-21_14-26-31,,,,,,,
147,W_stay_L_up_T_down,gpt4o,147,rock,paper,-1,3,2024-08-21_14-26-31,,,,,,,
148,W_stay_L_up_T_down,gpt4o,148,paper,paper,0,0,2024-08-21_14-26-31,,,,,,,
149,W_stay_L_up_T_down,gpt4o,149,rock,rock,0,0,2024-08-21_14-26-31,,,,,,,
150,W_stay_L_up_T_down,gpt4o,150,scissors,paper,3,-1,2024-08-21_14-26-31,,,,,,,
151,W_stay_L_up_T_down,gpt4o,151,scissors,rock,-1,3,2024-08-21_14-26-31,,,,,,,
152,W_stay_L_up_T_down,gpt4o,152,paper,scissors,-1,3,2024-08-21_14-26-31,,,,,,,
153,W_stay_L_up_T_down,gpt4o,153,scissors,rock,-1,3,2024-08-21_14-26-31,,,,,,,
154,W_stay_L_up_T_down,gpt4o,154,rock,rock,0,0,2024-08-21_14-26-31,,,,,,,
155,W_stay_L_up_T_down,gpt4o,155,paper,paper,0,0,2024-08-21_14-26-31,,,,,,,
156,W_stay_L_up_T_down,gpt4o,156,rock,rock,0,0,2024-08-21_14-26-31,,,,,,,
157,W_stay_L_up_T_down,gpt4o,157,scissors,paper,3,-1,2024-08-21_14-26-31,,,,,,,
158,W_stay_L_up_T_down,gpt4o,158,scissors,rock,-1,3,2024-08-21_14-26-31,,,,,,,
159,W_stay_L_up_T_down,gpt4o,159,paper,scissors,-1,3,2024-08-21_14-26-31,,,,,,,
160,W_stay_L_up_T_down,gpt4o,160,scissors,paper,3,-1,2024-08-21_14-26-31,,,,,,,
161,W_stay_L_up_T_down,gpt4o,161,rock,rock,0,0,2024-08-21_14-26-31,,,,,,,
162,W_stay_L_up_T_down,gpt4o,162,scissors,paper,3,-1,2024-08-21_14-26-31,,,,,,,
163,W_stay_L_up_T_down,gpt4o,163,scissors,rock,-1,3,2024-08-21_14-26-31,,,,,,,
164,W_stay_L_up_T_down,gpt4o,164,rock,scissors,3,-1,2024-08-21_14-26-31,,,,,,,
165,W_stay_L_up_T_down,gpt4o,165,rock,paper,-1,3,2024-08-21_14-26-31,,,,,,,
166,W_stay_L_up_T_down,gpt4o,166,paper,rock,3,-1,2024-08-21_14-26-31,,,,,,,
167,W_stay_L_up_T_down,gpt4o,167,paper,scissors,-1,3,2024-08-21_14-26-31,,,,,,,
168,W_stay_L_up_T_down,gpt4o,168,scissors,paper,3,-1,2024-08-21_14-26-31,,,,,,,
169,W_stay_L_up_T_down,gpt4o,169,scissors,rock,-1,3,2024-08-21_14-26-31,,,,,,,
170,W_stay_L_up_T_down,gpt4o,170,rock,scissors,3,-1,2024-08-21_14-26-31,,,,,,,
171,W_stay_L_up_T_down,gpt4o,171,paper,paper,0,0,2024-08-21_14-26-31,,,,,,,
172,W_stay_L_up_T_down,gpt4o,172,rock,scissors,3,-1,2024-08-21_14-26-31,,,,,,,
173,W_stay_L_up_T_down,gpt4o,173,rock,scissors,3,-1,2024-08-21_14-26-31,,,,,,,
174,W_stay_L_up_T_down,gpt4o,174,rock,paper,-1,3,2024-08-21_14-26-31,,,,,,,
175,W_stay_L_up_T_down,gpt4o,175,paper,paper,0,0,2024-08-21_14-26-31,,,,,,,
176,W_stay_L_up_T_down,gpt4o,176,rock,paper,-1,3,2024-08-21_14-26-31,,,,,,,
177,W_stay_L_up_T_down,gpt4o,177,rock,paper,-1,3,2024-08-21_14-26-31,,,,,,,
178,W_stay_L_up_T_down,gpt4o,178,paper,paper,0,0,2024-08-21_14-26-31,,,,,,,
179,W_stay_L_up_T_down,gpt4o,179,rock,paper,-1,3,2024-08-21_14-26-31,,,,,,,
180,W_stay_L_up_T_down,gpt4o,180,paper,paper,0,0,2024-08-21_14-26-31,,,,,,,
181,W_stay_L_up_T_down,gpt4o,181,rock,paper,-1,3,2024-08-21_14-26-31,,,,,,,
182,W_stay_L_up_T_down,gpt4o,182,rock,paper,-1,3,2024-08-21_14-26-31,,,,,,,
183,W_stay_L_up_T_down,gpt4o,183,paper,paper,0,0,2024-08-21_14-26-31,,,,,,,
184,W_stay_L_up_T_down,gpt4o,184,rock,paper,-1,3,2024-08-21_14-26-31,,,,,,,
185,W_stay_L_up_T_down,gpt4o,185,paper,paper,0,0,2024-08-21_14-26-31,,,,,,,
186,W_stay_L_up_T_down,gpt4o,186,rock,paper,-1,3,2024-08-21_14-26-31,,,,,,,
187,W_stay_L_up_T_down,gpt4o,187,paper,paper,0,0,2024-08-21_14-26-31,,,,,,,
188,W_stay_L_up_T_down,gpt4o,188,rock,paper,-1,3,2024-08-21_14-26-31,,,,,,,
189,W_stay_L_up_T_down,gpt4o,189,paper,rock,3,-1,2024-08-21_14-26-31,,,,,,,
190,W_stay_L_up_T_down,gpt4o,190,paper,scissors,-1,3,2024-08-21_14-26-31,,,,,,,
191,W_stay_L_up_T_down,gpt4o,191,scissors,paper,3,-1,2024-08-21_14-26-31,,,,,,,
192,W_stay_L_up_T_down,gpt4o,192,scissors,paper,3,-1,2024-08-21_14-26-31,,,,,,,
193,W_stay_L_up_T_down,gpt4o,193,scissors,paper,3,-1,2024-08-21_14-26-31,,,,,,,
194,W_stay_L_up_T_down,gpt4o,194,scissors,rock,-1,3,2024-08-21_14-26-31,,,,,,,
195,W_stay_L_up_T_down,gpt4o,195,rock,rock,0,0,2024-08-21_14-26-31,,,,,,,
196,W_stay_L_up_T_down,gpt4o,196,scissors,paper,3,-1,2024-08-21_14-26-31,,,,,,,
197,W_stay_L_up_T_down,gpt4o,197,scissors,rock,-1,3,2024-08-21_14-26-31,,,,,,,
198,W_stay_L_up_T_down,gpt4o,198,rock,rock,0,0,2024-08-21_14-26-31,,,,,,,
199,W_stay_L_up_T_down,gpt4o,199,scissors,paper,3,-1,2024-08-21_14-26-31,,,,,,,
200,W_stay_L_up_T_down,gpt4o,200,scissors,rock,-1,3,2024-08-21_14-26-31,,,,,,,
201,W_stay_L_up_T_down,gpt4o,201,rock,rock,0,0,2024-08-21_14-26-31,,,,,,,
202,W_stay_L_up_T_down,gpt4o,202,scissors,rock,-1,3,2024-08-21_14-26-31,,,,,,,
203,W_stay_L_up_T_down,gpt4o,203,rock,rock,0,0,2024-08-21_14-26-31,,,,,,,
204,W_stay_L_up_T_down,gpt4o,204,scissors,rock,-1,3,2024-08-21_14-26-31,,,,,,,
205,W_stay_L_up_T_down,gpt4o,205,rock,rock,0,0,2024-08-21_14-26-31,,,,,,,
206,W_stay_L_up_T_down,gpt4o,206,scissors,paper,3,-1,2024-08-21_14-26-31,,,,,,,
207,W_stay_L_up_T_down,gpt4o,207,scissors,rock,-1,3,2024-08-21_14-26-31,,,,,,,
208,W_stay_L_up_T_down,gpt4o,208,rock,rock,0,0,2024-08-21_14-26-31,,,,,,,
209,W_stay_L_up_T_down,gpt4o,209,scissors,rock,-1,3,2024-08-21_14-26-31,,,,,,,
210,W_stay_L_up_T_down,gpt4o,210,paper,scissors,-1,3,2024-08-21_14-26-31,,,,,,,
211,W_stay_L_up_T_down,gpt4o,211,scissors,rock,-1,3,2024-08-21_14-26-31,,,,,,,
212,W_stay_L_up_T_down,gpt4o,212,rock,rock,0,0,2024-08-21_14-26-31,,,,,,,
213,W_stay_L_up_T_down,gpt4o,213,scissors,rock,-1,3,2024-08-21_14-26-31,,,,,,,
214,W_stay_L_up_T_down,gpt4o,214,rock,scissors,3,-1,2024-08-21_14-26-31,,,,,,,
215,W_stay_L_up_T_down,gpt4o,215,rock,rock,0,0,2024-08-21_14-26-31,,,,,,,
216,W_stay_L_up_T_down,gpt4o,216,scissors,rock,-1,3,2024-08-21_14-26-31,,,,,,,
217,W_stay_L_up_T_down,gpt4o,217,rock,paper,-1,3,2024-08-21_14-26-31,,,,,,,
218,W_stay_L_up_T_down,gpt4o,218,paper,rock,3,-1,2024-08-21_14-26-31,,,,,,,
219,W_stay_L_up_T_down,gpt4o,219,paper,rock,3,-1,2024-08-21_14-26-31,,,,,,,
220,W_stay_L_up_T_down,gpt4o,220,paper,scissors,-1,3,2024-08-21_14-26-31,,,,,,,
221,W_stay_L_up_T_down,gpt4o,221,rock,paper,-1,3,2024-08-21_14-26-31,,,,,,,
222,W_stay_L_up_T_down,gpt4o,222,paper,rock,3,-1,2024-08-21_14-26-31,,,,,,,
223,W_stay_L_up_T_down,gpt4o,223,rock,scissors,3,-1,2024-08-21_14-26-31,,,,,,,
224,W_stay_L_up_T_down,gpt4o,224,rock,paper,-1,3,2024-08-21_14-26-31,,,,,,,
225,W_stay_L_up_T_down,gpt4o,225,paper,rock,3,-1,2024-08-21_14-26-31,,,,,,,
226,W_stay_L_up_T_down,gpt4o,226,scissors,scissors,0,0,2024-08-21_14-26-31,,,,,,,
227,W_stay_L_up_T_down,gpt4o,227,paper,paper,0,0,2024-08-21_14-26-31,,,,,,,
228,W_stay_L_up_T_down,gpt4o,228,rock,rock,0,0,2024-08-21_14-26-31,,,,,,,
229,W_stay_L_up_T_down,gpt4o,229,scissors,scissors,0,0,2024-08-21_14-26-31,,,,,,,
230,W_stay_L_up_T_down,gpt4o,230,paper,paper,0,0,2024-08-21_14-26-31,,,,,,,
231,W_stay_L_up_T_down,gpt4o,231,rock,rock,0,0,2024-08-21_14-26-31,,,,,,,
232,W_stay_L_up_T_down,gpt4o,232,scissors,scissors,0,0,2024-08-21_14-26-31,,,,,,,
233,W_stay_L_up_T_down,gpt4o,233,paper,paper,0,0,2024-08-21_14-26-31,,,,,,,
234,W_stay_L_up_T_down,gpt4o,234,rock,paper,-1,3,2024-08-21_14-26-31,,,,,,,
235,W_stay_L_up_T_down,gpt4o,235,paper,paper,0,0,2024-08-21_14-26-31,,,,,,,
236,W_stay_L_up_T_down,gpt4o,236,scissors,scissors,0,0,2024-08-21_14-26-31,,,,,,,
237,W_stay_L_up_T_down,gpt4o,237,paper,rock,3,-1,2024-08-21_14-26-31,,,,,,,
238,W_stay_L_up_T_down,gpt4o,238,paper,scissors,-1,3,2024-08-21_14-26-31,,,,,,,
239,W_stay_L_up_T_down,gpt4o,239,paper,scissors,-1,3,2024-08-21_14-26-31,,,,,,,
240,W_stay_L_up_T_down,gpt4o,240,scissors,paper,3,-1,2024-08-21_14-26-31,,,,,,,
241,W_stay_L_up_T_down,gpt4o,241,rock,rock,0,0,2024-08-21_14-26-31,,,,,,,
242,W_stay_L_up_T_down,gpt4o,242,scissors,rock,-1,3,2024-08-21_14-26-31,,,,,,,
243,W_stay_L_up_T_down,gpt4o,243,rock,rock,0,0,2024-08-21_14-26-31,,,,,,,
244,W_stay_L_up_T_down,gpt4o,244,scissors,scissors,0,0,2024-08-21_14-26-31,,,,,,,
245,W_stay_L_up_T_down,gpt4o,245,paper,rock,3,-1,2024-08-21_14-26-31,,,,,,,
246,W_stay_L_up_T_down,gpt4o,246,paper,paper,0,0,2024-08-21_14-26-31,,,,,,,
247,W_stay_L_up_T_down,gpt4o,247,scissors,scissors,0,0,2024-08-21_14-26-31,,,,,,,
248,W_stay_L_up_T_down,gpt4o,248,paper,rock,3,-1,2024-08-21_14-26-31,,,,,,,
249,W_stay_L_up_T_down,gpt4o,249,paper,scissors,-1,3,2024-08-21_14-26-31,,,,,,,
250,W_stay_L_up_T_down,gpt4o,250,scissors,scissors,0,0,2024-08-21_14-26-31,,,,,,,
251,W_stay_L_up_T_down,gpt4o,251,paper,rock,3,-1,2024-08-21_14-26-31,,,,,,,
252,W_stay_L_up_T_down,gpt4o,252,paper,scissors,-1,3,2024-08-21_14-26-31,,,,,,,
253,W_stay_L_up_T_down,gpt4o,253,scissors,scissors,0,0,2024-08-21_14-26-31,,,,,,,
